user_id,First,Second,Third
0000000,17,19,21
0000000,19,17,20
0000000,17,18,22
0000000,22,19,21
0000000,21,19,18
0000000,17,19,21
0000000,17,18,19
0000000,17,20,19
0000000,17,19,18
0000000,17,18,20
0000000,20,17,21
0000000,17,18,21
0000000,17,20,19
0000000,17,22,21
0000000,22,21,20
0000000,22,17,21
0000000,20,17,21
0000000,17,19,22
0000000,17,19,22
0000000,21,17,19
0000000,17,21,22
0000000,17,19,22
0000000,22,21,18
0000000,21,20,18
0000000,17,19,22
0000000,17,22,21
0000000,17,19,18
0000000,17,22,19
0000000,17,22,19
0000000,18,19,20
0000000,22,20,18
0000000,20,21,18
0000000,17,19,21
0000000,22,21,17
0000000,20,18,21
0000000,17,19,20
0000000,17,19,22
0000000,18,22,19
0000000,17,19,18
0000000,21,20,22
0000000,21,20,17
0000000,17,21,19
0000000,17,19,22
0000000,17,19,18
0000000,17,22,20
0000000,17,19,22
0000000,17,20,22
0000000,18,21,17
0000000,17,21,22
0000000,17,19,18
0000000,18,19,22
0000000,21,19,22
0000000,17,19,20
0000000,17,18,22
0000000,17,21,19
0000000,17,20,18
0000000,21,22,17
0000000,21,22,17
0000000,17,19,20
0000000,17,19,22
0000000,17,22,19
0000000,19,21,22
0000000,17,21,19
0000000,17,22,19
0000000,17,18,19
0000000,17,19,22
0000000,20,17,19
0000000,20,21,22
0000000,17,19,22
0000000,19,20,17
0000000,17,22,20
0000000,17,22,19
0000000,22,21,20
0000000,17,21,18
0000000,17,20,19
0000000,17,22,19
0000000,17,22,18
0000000,17,20,21
0000000,17,22,19
0000000,22,17,21
0000000,17,21,20
0000000,21,19,22
0000000,20,22,21
0000000,22,18,21
0000000,17,21,20
0000000,17,22,19
0000000,17,18,19
0000000,17,18,22
0000000,22,17,20
0000000,17,19,20
0000000,17,20,22
0000000,17,21,20
0000000,17,18,22
0000000,17,21,22
0000000,17,20,19
0000000,19,22,18
0000000,17,20,21
0000000,22,20,21
0000000,17,19,21
0000000,17,22,20
0000000,17,21,22
0000000,17,21,22
0000000,19,22,21
0000000,21,18,17
0000000,17,19,18
0000000,17,20,18
0000000,17,22,19
0000000,17,20,21
0000000,17,18,20
0000000,17,20,22
0000000,17,19,20
0000000,20,17,21
0000000,17,19,20
0000000,17,22,21
0000000,18,19,22
0000000,17,19,21
0000000,17,19,22
0000000,17,19,20
0000000,17,19,21
0000000,17,19,20
0000000,17,21,19
0000000,17,22,21
0000000,21,18,17
0000000,19,22,18
0000000,17,19,18
0000000,17,19,22
0000000,17,21,22
0000000,17,19,21
0000000,17,19,22
0000000,19,18,17
0000000,17,22,19
0000000,17,19,22
0000000,17,19,22
0000000,17,19,18
0000000,22,17,18
0000000,17,22,18
0000000,22,20,19
0000000,17,22,19
0000000,17,21,22
0000000,17,19,22
0000000,17,19,20
0000000,22,19,17
0000000,17,18,21
0000000,17,18,19
0000000,17,19,20
0000000,17,22,20
0000000,17,22,19
0000000,17,19,21
0000000,17,19,22
0000000,17,21,22
0000000,17,21,22
0000000,21,20,18
0000000,18,20,22
0000000,17,22,20
0000000,22,17,19
0000000,17,19,20
0000000,17,19,21
0000000,17,19,22
0000000,17,21,19
0000000,17,19,22
0000000,22,19,17
0000000,17,19,22
0000000,19,21,18
0000000,17,22,18
0000000,17,19,22
0000000,18,19,20
0000000,17,18,20
0000000,17,19,22
0000000,17,19,21
0000000,17,22,19
0000000,17,22,20
0000000,17,19,20
0000000,22,20,21
0000000,22,17,19
0000000,17,19,22
0000000,17,22,21
0000000,17,19,22
0000000,17,19,21
0000000,22,19,17
0000000,17,19,22
0000000,17,19,22
0000000,17,19,22
0000000,22,19,21
0000000,17,20,18
0000000,17,22,19
0000000,17,22,21
0000000,20,21,17
0000000,18,20,17
0000000,17,18,21
0000000,17,19,21
0000000,21,17,19
0000000,17,22,19
0000000,17,20,19
0000000,17,21,19
0000000,17,20,19
0000000,17,19,22
0000000,20,19,17
0000000,19,18,21
0000000,17,19,22
0000000,17,21,22
0000000,20,21,17
0000000,17,19,22
0000000,17,22,20
0000000,17,19,22
0000000,17,19,22
0000000,21,20,19
0000000,22,19,17
0000000,17,22,18
0000000,17,19,22
0000000,22,21,17
0000000,17,20,18
0000000,17,20,21
0000000,20,21,17
0000000,19,20,22
0000000,22,21,19
0000000,18,22,21
0000000,17,22,18
0000000,17,19,22
0000000,17,19,20
0000000,18,22,17
0000000,17,21,22
0000000,21,22,20
0000000,17,19,22
0000000,20,21,19
0000000,18,19,22
0000000,21,19,17
0000000,22,21,20
0000000,19,18,22
0000000,17,20,22
0000000,22,20,17
0000000,22,17,20
0000000,19,21,20
0000000,17,21,19
0000000,19,20,22
0000000,22,17,19
0000000,17,22,19
0000000,22,17,19
0000000,17,18,19
0000000,21,17,22
0000000,22,21,17
0000000,17,19,21
0000000,22,21,18
0000000,19,18,21
0000000,17,18,21
0000000,22,18,21
0000000,17,19,21
0000000,19,18,20
0000000,17,21,19
0000000,21,19,20
0000000,17,21,22
0000000,17,20,22
0000000,22,21,18
0000000,19,21,18
0000000,21,17,22
0000000,21,17,22
0000000,17,19,22
0000000,22,18,17
0000000,18,19,21
0000000,17,19,22
0000000,22,19,17
0000000,17,22,19
0000000,17,18,19
0000000,21,17,18
0000000,17,18,19
0000000,17,19,18
0000000,19,17,21
0000000,19,22,17
0000000,17,19,22
0000000,17,21,22
0000000,17,20,19
0000000,20,17,21
0000000,17,21,22
0000000,17,20,19
0000000,19,20,22
0000000,17,20,18
0000000,20,21,18
0000000,17,19,21
0000000,17,21,22
0000000,21,22,17
0000000,17,22,20
0000000,17,19,22
0000000,17,19,22
0000000,20,17,19
0000000,18,19,22
0000000,17,22,19
0000000,17,19,18
0000000,17,20,22
0000000,17,19,22
0000000,17,19,21
0000000,18,21,22
0000000,17,18,21
0000000,22,17,21
0000000,17,21,20
0000000,21,17,18
0000000,17,19,22
0000000,22,17,19
0000000,17,22,20
0000000,17,20,22
0000000,17,20,19
0000000,18,21,22
0000000,22,17,19
0000000,17,22,18
0000000,17,22,20
0000000,17,22,19
0000000,19,21,20
0000000,17,22,18
0000000,17,21,19
0000000,19,18,20
0000000,18,21,20
0000000,17,19,22
0000000,19,17,20
0000000,17,19,18
0000000,21,17,22
0000000,17,22,21
0000000,17,22,19
0000000,17,19,22
0000000,17,21,22
0000000,22,21,18
0000000,17,19,22
0000000,17,20,22
0000000,22,18,19
0000000,17,22,19
0000000,17,22,20
0000000,17,20,21
0000000,17,22,21
0000000,22,17,19
0000000,17,22,21
0000000,17,22,18
0000000,22,18,17
0000000,20,17,22
0000000,21,22,18
0000000,17,22,21
0000000,17,19,22
0000000,17,22,19
0000000,18,17,20
0000000,17,19,22
0000000,17,18,19
0000000,20,21,18
0000000,17,19,22
0000000,17,19,21
0000000,22,19,18
0000000,17,19,21
0000000,22,18,21
0000000,17,21,20
0000000,22,20,21
0000000,22,17,19
0000000,17,22,19
0000000,17,21,20
0000000,17,21,22
0000000,17,19,21
0000000,17,20,21
0000000,17,20,22
0000000,19,17,22
0000000,20,17,18
0000000,22,19,18
0000000,22,19,18
0000000,19,20,22
0000000,17,19,21
0000000,17,20,18
0000000,21,20,18
0000000,22,18,19
0000000,17,22,19
0000000,17,21,22
0000000,22,21,18
0000000,17,19,21
0000000,17,20,21
0000000,17,19,21
0000000,17,19,22
0000000,19,21,20
0000000,21,22,18
0000000,17,19,21
0000000,22,17,19
0000000,17,22,21
0000000,21,19,22
0000000,17,18,21
0000000,17,20,22
0000000,19,22,18
0000000,17,22,19
0000000,18,17,20
0000000,17,21,22
0000000,22,20,17
0000000,17,19,21
0000000,17,22,20
0000000,17,18,19
0000000,17,20,21
0000000,17,20,22
0000000,21,17,18
0000000,17,19,22
0000000,17,18,21
0000000,22,17,20
0000000,17,20,19
0000000,20,17,19
0000000,17,18,21
0000000,18,17,19
0000000,17,21,20
0000000,17,22,19
0000000,18,19,20
0000000,17,22,21
0000000,17,22,21
0000000,17,19,22
0000000,17,19,22
0000000,22,17,18
0000000,17,19,22
0000000,17,18,22
0000000,22,21,19
0000000,17,19,22
0000000,21,17,22
0000000,22,17,19
0000000,17,22,20
0000000,17,20,22
0000000,17,19,22
0000000,17,21,22
0000000,17,22,20
0000000,17,22,20
0000000,20,17,21
0000000,17,19,20
0000000,17,19,21
0000000,21,17,20
0000000,17,21,18
0000000,17,20,21
0000000,17,18,20
0000000,21,20,18
0000000,17,19,22
0000000,17,18,20
0000000,17,21,22
0000000,21,18,19
0000000,17,19,22
0000000,17,19,22
0000000,17,22,18
0000000,17,22,20
0000000,17,19,20
0000000,17,19,22
0000000,17,19,22
0000000,17,20,22
0000000,22,17,21
0000000,22,19,17
0000000,18,21,22
0000000,19,17,20
0000000,17,19,20
0000000,18,21,17
0000000,17,20,21
0000000,22,17,21
0000000,17,19,20
0000000,18,20,22
0000000,17,19,20
0000000,19,20,22
0000000,19,18,20
0000000,21,22,20
0000000,17,18,19
0000000,22,20,17
0000000,19,22,17
0000000,17,19,22
0000000,17,22,19
0000000,19,20,22
0000000,17,20,19
0000000,17,20,18
0000000,17,19,20
0000000,17,19,22
0000000,17,20,21
0000000,17,20,22
0000000,17,20,19
0000000,17,19,20
0000000,22,20,18
0000000,17,21,19
0000000,22,17,21
0000000,17,18,22
0000000,17,18,20
0000000,17,22,21
0000000,17,22,19
0000000,19,22,17
0000000,21,22,20
0000000,17,19,21
0000000,22,20,19
0000000,17,18,21
0000000,17,21,19
0000000,17,20,19
0000000,17,19,22
0000000,17,19,21
0000000,17,19,21
0000000,17,20,22
0000000,21,17,22
0000000,20,19,22
0000000,17,19,21
0000000,17,19,22
0000000,17,19,22
0000000,20,19,21
0000000,18,21,22
0000000,17,19,22
0000000,22,21,20
0000000,17,19,22
0000000,17,22,20
0000000,18,19,17
0000000,17,19,20
0000000,17,19,22
0000000,17,19,21
0000000,18,19,17
0000000,18,19,17
0000000,17,22,20
0000000,19,17,22
0000000,17,20,22
0000000,17,19,20
0000000,17,19,22
0000000,20,19,22
0000000,17,19,20
0000000,17,19,18
0000000,22,17,21
0000000,20,18,17
0000000,17,19,22
0000000,17,18,20
0000000,19,20,18
0000000,18,20,17
0000000,17,19,22
0000000,17,19,20
0000000,17,21,22
0000000,19,20,21
0000000,17,19,20
0000000,17,22,19
0000000,22,21,17
0000000,17,19,21
0000000,19,17,22
0000000,17,19,21
0000000,17,22,21
0000000,17,19,21
0000000,17,19,20
0000000,17,22,19
0000000,20,21,22
0000000,17,19,21
0000000,20,22,19
0000000,17,19,20
0000000,22,17,19
0000000,18,19,17
0000000,17,22,19
0000000,19,20,22
0000000,17,21,19
0000000,17,19,22
0000000,22,18,21
0000000,22,17,18
0000000,18,19,21
0000000,20,21,19
0000000,21,19,17
0000000,21,22,17
0000000,21,19,22
0000000,22,19,17
0000000,20,18,21
0000000,17,21,18
0000000,17,21,19
0000000,17,22,19
0000000,17,19,18
0000000,17,22,19
0000000,17,21,20
0000000,17,22,19
0000000,22,21,17
0000000,17,19,22
0000000,21,22,17
0000000,21,20,17
0000000,22,21,20
0000000,18,17,19
0000000,17,19,22
0000000,21,17,19
0000000,17,22,19
0000000,17,19,20
0000000,19,18,17
0000000,17,20,21
0000000,17,19,22
0000000,17,19,21
0000000,17,21,18
0000000,22,17,21
0000000,17,20,19
0000000,19,17,22
0000000,17,22,19
0000000,17,19,21
0000000,17,22,20
0000000,17,18,22
0000000,20,17,21
0000000,17,18,19
0000000,18,19,22
0000000,17,19,18
0000000,17,22,21
0000000,17,19,22
0000000,17,20,21
0000000,21,19,22
0000000,17,19,22
0000000,21,20,19
0000000,18,19,17
0000000,20,17,18
0000000,17,21,19
0000000,17,19,18
0000000,17,18,21
0000000,19,22,21
0000000,17,19,22
0000000,17,18,20
0000000,17,20,22
0000000,17,22,21
0000000,17,19,22
0000000,17,19,20
0000000,22,17,19
0000000,17,22,19
0000000,17,22,20
0000000,17,21,22
0000000,17,22,19
0000000,17,20,22
0000000,17,19,21
0000000,17,20,22
0000000,17,21,22
0000000,18,17,19
0000000,17,18,20
0000000,17,20,18
0000000,17,18,20
0000000,21,19,17
0000000,17,19,22
0000000,17,19,22
0000000,21,17,18
0000000,17,19,22
0000000,17,21,22
0000000,17,21,19
0000000,17,20,19
0000000,17,20,19
0000000,18,21,19
0000000,17,19,21
0000000,17,20,19
0000000,17,19,20
0000000,17,22,21
0000000,17,18,22
0000000,20,17,21
0000000,17,19,20
0000000,22,19,17
0000000,22,17,20
0000000,17,18,22
0000000,17,19,22
0000000,17,19,22
0000000,19,22,17
0000000,17,19,18
0000000,22,17,21
0000000,22,19,17
0000000,22,19,17
0000000,22,19,21
0000000,17,19,18
0000000,21,22,17
0000000,17,21,19
0000000,18,17,20
0000000,17,22,19
0000000,19,18,20
0000000,19,17,18
0000000,18,19,21
0000000,17,19,22
0000000,17,20,19
0000000,17,19,18
0000000,17,18,20
0000000,17,19,18
0000000,18,19,22
0000000,17,20,19
0000000,22,19,21
0000000,19,17,18
0000000,17,18,20
0000000,22,17,19
0000000,17,21,20
0000000,17,20,22
0000000,19,18,22
0000000,17,19,22
0000000,19,20,17
0000000,17,19,18
0000000,17,19,22
0000000,22,19,18
0000000,17,19,22
0000000,17,19,18
0000000,17,19,20
0000000,17,22,20
0000000,22,18,20
0000000,20,17,22
0000000,17,19,21
0000000,17,22,18
0000000,17,21,22
0000000,17,18,20
0000000,22,17,19
0000000,20,22,19
0000000,17,18,19
0000000,17,18,22
0000000,17,22,21
0000000,22,20,21
0000000,22,20,17
0000000,22,20,17
0000000,17,21,19
0000000,22,21,17
0000000,22,17,19
0000000,20,22,21
0000000,17,22,19
0000000,17,22,19
0000000,17,19,22
0000000,17,19,18
0000000,20,19,21
0000000,20,21,22
0000000,17,20,22
0000000,19,22,17
0000000,20,21,17
0000000,17,22,19
0000000,17,19,20
0000000,22,17,19
0000000,22,21,17
0000000,22,19,21
0000000,18,20,21
0000000,17,22,19
0000000,17,22,21
0000000,22,19,17
0000000,19,17,21
0000000,17,20,18
0000000,17,22,19
0000000,22,17,20
0000000,17,19,20
0000000,17,19,22
0000000,17,20,22
0000000,17,20,19
0000000,17,19,20
0000000,21,17,20
0000000,20,17,18
0000000,19,21,20
0000000,17,20,18
0000000,17,19,22
0000000,17,20,19
0000000,21,17,20
0000000,17,19,22
0000000,17,18,19
0000000,17,22,19
0000000,21,22,19
0000000,22,17,18
0000000,17,22,21
0000000,17,20,22
0000000,22,19,17
0000000,17,19,22
0000000,17,20,22
0000000,21,22,17
0000000,17,20,21
0000000,17,22,19
0000000,17,22,21
0000000,19,17,22
0000000,17,21,19
0000000,21,17,22
0000000,17,19,21
0000000,17,22,20
0000000,17,20,19
0000000,17,19,22
0000000,17,22,19
0000000,17,19,22
0000000,22,17,19
